issue_key,existence,property,executive,summary,description,issue_type,status,resolution,priority,labels,components,created,updated,resolved,votes,watchers,parent_key,comment_count,attachment_count
TIKA-2720,True,False,False,A parser to output universal sentence encodings to text,"This parser encodes a text into high dimensional vectors that can be used for text classification, semantic similarity, clustering and other natural language tasks. The model is trained and optimized for greater-than-word length text, such as sentences, phrases or short paragraphs. It is trained on a variety of data sources and a variety of tasks with the aim of dynamically accommodating a wide variety of natural language understanding tasks. The input is variable length English text and the output is a 512 dimensional vector.",New Feature,Open,,Major,,tika-dl,2018-09-02T20:51:16.510+0000,2021-07-21T22:13:40.402+0000,,0,3,,7,0
TIKA-2717,False,True,True,Sonatype Nexus auditor is reporting that Jackson databind version used by Apache Tika is vulnerable,"Sonatype Nexus auditor is reporting that Jackson databind version used by Apache Tika is vulnerable. Recommendation is not to use global default typing with Jackson,

Refer following for details.

 
Source Sonatype Data Research
 
Severity Sonatype CVSS 3.0: 8.5
 
Weakness Sonatype CWE: [502|https://cwe.mitre.org/data/definitions/502.html]
 
Explanation
{{jackson-databind}} is vulnerable to Remote Code Execution (RCE). The {{createBeanDeserializer()}} function in the {{BeanDeserializerFactory}} class allows untrusted Java objects to be deserialized. A remote attacker can exploit this by uploading a malicious serialized object that will result in RCE if the application attempts to deserialize it.

Note: This vulnerability exists due to the incomplete fix for CVE-2017-7525, CVE-2017-15095, CVE-2017-17485, CVE-2018-5968, and CVE-2018-7489. Evidence of this can be found at [https://pivotal.io/security/cve-2017-4995]:
{quote}Jackson provides a blacklisting approach to protecting against this type of attack, but Spring Security should be proactive against blocking unknown “deserialization gadgets” when Spring Security enables default typing.
{quote}
 
Detection
The application is vulnerable by using this component, when default typing is enabled and passing in untrusted data to be deserialization.

Note: Spring Security has provided their own fix for this vulnerability ([CVE-2017-4995|https://pivotal.io/security/cve-2017-4995]). If this component is being used as part of Spring Security, then you are not vulnerable if you are running Spring Security 4.2.3.RELEASE or greater for 4.x or Spring Security 5.0.0.M2 or greater for 5.x.
 
Recommendation
There is no non vulnerable version of this component. We recommend investigating alternative components or a potential mitigating control.

Workaround: Do not use the default typing. Instead you will need to implement your own.
{quote}It is also possible to customize global defaulting, using ObjectMapper.setDefaultTyping(…) – you just have to implement your own TypeResolverBuilder (which is not very difficult); and by doing so, can actually configure all aspects of type information. Builder itself is just a short-cut for building actual handlers.
{quote}
 

Reference: [https://github.com/FasterXML/jackson-docs/wiki/JacksonPolymorphicDeserialization]

Examples of implementing your own typing can be found by looking at [Spring Security's fix|https://github.com/spring-projects/spring-security/commit/947d11f433b78294942cb5ea56e8aa5c3a0ca439] or [this Stack Overflow article|https://stackoverflow.com/questions/12353774/how-to-customize-jackson-type-information-mechanism].
 
Categories
Data
Root Cause
tika-app-1.18.jar *<=* SubTypeValidator.class : [2.9.5, )
Advisories
Attack: [https://adamcaudill.com/2017/10/04/exploiting-jackson-rce-cv...|https://adamcaudill.com/2017/10/04/exploiting-jackson-rce-cve-2017-7525/]
Evidence: [https://pivotal.io/security/cve-2017-4995]",Bug,Resolved,Fixed,Critical,,core,2018-08-22T09:47:39.950+0000,2019-01-31T15:14:15.655+0000,2019-01-31T14:01:23.915+0000,0,4,,7,0
TIKA-2686,False,True,True,pdfbox fontbox 2.0.8 has security vulnerability CVE-2018-8036 and should be upgraded to 2.0.11,"Sonatype Nexus scan on Apach Tika 1.18 reports CVE-2018-8036 on pdfbox fontbox version 2.0.8 used by Tika 1.17

Details of the lssue from Sonatype Nexus auditor are as follows.

 
Issue [CVE-2018-8036|http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2018-8036]
 
Source National Vulnerability Database
 
Severity Sonatype CVSS 3.0: 7.5
 
Weakness Sonatype CWE: [400|https://cwe.mitre.org/data/definitions/400.html]
 
Description from CVE:
In Apache PDFBox 1.8.0 to 1.8.14 and 2.0.0RC1 to 2.0.10, a carefully crafted (or fuzzed) file can trigger an infinite loop which leads to an out of memory exception in Apache PDFBox's AFMParser.
 
Categories Data
 
Root Cause fontbox-2.0.8.jar : [2.0.0, 2.0.11)
 
Advisories
Third Party: [https://bugzilla.redhat.com/show_bug.cgi?id=1597490]
Project: https://issues.apache.org/jira/browse/PDFBOX-4251

Sonatype recommendation is to update pdfbox fontbox to non vulnerable version 2.0.11

Can you please update pdfbox fontbox version used by Apache Tika?

--- Abhijit Rajwade
 
 

 

 

 ",Bug,Resolved,Duplicate,Major,security,core,2018-07-10T14:51:41.763+0000,2018-07-11T16:46:03.567+0000,2018-07-11T16:46:03.530+0000,0,1,,1,0
TIKA-2662,True,False,False,Add a streaming out option for the Json serialization,"Depending on the configuration of the ForkParser, it might be useful for that and also for tika-batch to write out each embedded file once the parse for that embedded file has completed, rather than caching the entire output in memory.

The downside to this is that the main document will now show up at the bottom of the list of metadata objects.  We can re-arrange when we deserialize, but anyone not using our deserialization will see this change in order.  Given that this is a breaking change, I'll make it optional.",Task,Resolved,Fixed,Minor,,,2018-06-07T18:25:46.238+0000,2018-06-07T21:10:49.605+0000,2018-06-07T20:25:26.401+0000,0,2,,3,0
TIKA-2585,True,False,False,TikaInputStream support for resetting via a factory of InputStreams,"As raised in the 2.0 breaking changes thread, currently the only way that Tika has of handling the need to fully read an InputStream multiple times is to use {{TikaInputStream.getFile()}} which will spool to a temp file if not already file-based. (Reading a few kb is handled via buffering and mark/reset, but that doesn't scale for huge full files)

In some cases, grabbing a fresh {{InputStream}} is actually cheaper than Tika spooling to a temp file, but we've no way of a caller expressing that

So, before we make too much extra use of re-processing the whole input several times (eg for the augmenting-parsers and fallback-parsers), we should provide a way for callers to instead supply new {{InputStream}} instances on demand",Improvement,Resolved,Fixed,Major,,parser,2018-02-21T21:41:58.631+0000,2021-04-12T12:59:44.608+0000,2018-03-21T08:41:39.694+0000,0,4,,5,0
TIKA-2577,False,True,True,Sonatype Nexus Auditor is reporting that the Bouncy castle version used by Tika 1.17 is vulnerable,"Sonatype Nexus Auditor is reporting that the Bouncy castle version used by Tika 1.17 (tika-app-1.17.jar) is vulnerable.

Here are the details of CVE-2016-1000341.

 
*Explanation*
{{BouncyCastle}} is vulnerable to a Timing Attack. The {{generateSignature()}} function in the {{DSASigner.java}} file allows the per message key (the {{k}} value in the DSA algorithm) to be predictable while generating DSA signatures. A remote attacker can exploit this vulnerability to determine the {{k}} value by closely observing the timings for the generation of signatures, allowing the attacker to deduce the signer?s private key.
Detection
The application is vulnerable by using this component.

 
*Recommendation*
We recommend upgrading to a version of this component that is not vulnerable to this specific issue.
Categories
Data

 
*Root Cause*
tika-app-1.17.jar *<=* DSASigner.class : (, 1.56)
tika-app-1.17.jar *<=* DSASigner.class : (,1.56)
Advisories
Third Party: [https://rdist.root.org/2010/11/19/dsa-requirements-for-rando...|https://rdist.root.org/2010/11/19/dsa-requirements-for-random-k-value/]
Project: [https://www.bouncycastle.org/releasenotes.html]

 

*Resolution*

Refer [https://www.bouncycastle.org/releasenotes.html]

You can see that Bouncy caste version 1.56 fixes CVE-2016-1000341

Recommend that Apach Tika upgrade Bouncy Castle to version 1.56 or latyer.

--- Abhijit Rajwade

 ",Bug,Resolved,Fixed,Major,,,2018-02-19T12:21:03.058+0000,2018-10-17T18:34:28.148+0000,2018-10-17T18:34:28.099+0000,1,4,,5,0
TIKA-2514,False,True,False,Create alternate ForkParser that doesn't require serialization,"The ForkParser is a great option for handling oom/permanent hangs; and from a code/design perspective, IMHO, it is a thing of beauty.  

On the user list [~JimIdle], recently pointed out that the ForkParser can't work with custom parsers that depend on non-serializable components.

It would be great to allow users to specify a TIKA_HOME variable or pass in a directory with the tika-related jars and run the server as a separate process with that dir as the class path.  This would also make adding optional jars much easier and could prevent jar hell with the calling application.

Bonus points for enabling the RecursiveParserWrapper to work. :)",Improvement,Open,,Major,,,2017-11-29T21:38:36.496+0000,2017-11-29T21:43:47.120+0000,,0,1,,0,0
TIKA-2499,False,True,True,Sonatype Nexus Auditor is reporting that Tika 1.13 is using a number of vulnerable Third party components.,"Sonatype Nexus Auditor is reporting that Tika 1.13 is using a number of vulnerable Third party components.

Sr No	Vulnerability ID	Description from Nexus Auditor 	Vulnerable Third party component	Fixed Third party component

1	SONATYPE-2017-0355	Source Sonatype Data Research
Severity Sonatype CVSS 3.0: 7.5
Weakness Sonatype CWE: 20

Explanation
jackson-core is vulnerable to Denial of Service (DoS). The _reportInvalidToken() function in the UTF8StreamJsonParser and ReaderBasedJsonParser classes allows large amounts of extraneous data to be printed to the server log. An attacker can exploit this vulnerability by crafting a POST request containing large amounts of data. When the data contains invalid JSON, an exception is thrown, which results in the consumption of available disk space when the error message is written to server.log along with the request data.
Detection
The application is vulnerable by using this component.
Recommendation
We recommend upgrading to a version of this component that is not vulnerable to this specific issue.
Categories
Data
Root Cause
tika-app-1.13.jar <= ReaderBasedJsonParser.class : [2.0.0-RC1, 2.8.6)
tika-app-1.13.jar <= UTF8StreamJsonParser.class : [2.0.0-RC1, 2.8.6)
Advisories
Attack: https://issues.jboss.org/browse/JBEAP-6316
Project: https://github.com/FasterXML/jackson-core/pull/322
Jackson	
Fixed version: Jackson 2.8.6 or later

2	SONATYPE-2017-0359	Source Sonatype Data Research
Severity Sonatype CVSS 3.0: 7.5
Weakness Sonatype CWE: 22

Explanation
The Apache httpcomponents component is vulnerable to Directory Traversal. The normalizePath() function in the URIBuilder class allows directory traversal characters such as ../. An attacker can exploit this vulnerability by sending a specially crafted request containing this sequence in the URL path, allowing the attacker to traverse beyond the allowed directory and retrieve the contents of arbitrary files from the server, leading to information disclosure.
Detection
The application is vulnerable by using this component.
Recommendation
We recommend upgrading to a version of this component that is not vulnerable to this specific issue.
Categories
Data
Root Cause
tika-app-1.13.jar <= URIBuilder.class : [4.2.1-RC1, 4.5.3)
Advisories
Project: https://issues.apache.org/jira/browse/HTTPCLIENT-1803
Apache httpcomponents	
Fixed Version: Apache httpcomponents 4.5.3 or later

3	CVE-2017-12620	Issue CVE-2017-12620
Source National Vulnerability Database
Severity Sonatype CVSS 3.0: 7.3
Weakness Sonatype CWE: 611

Description from CVE
When loading models or dictionaries that contain XML it is possible to perform an XXE attack, since Apache OpenNLP is a library, this only affects applications that load models or dictionaries from untrusted sources. The versions 1.5.0 to 1.5.3, 1.6.0, 1.7.0 to 1.7.2, 1.8.0 to 1.8.1 of Apache OpenNLP are affected.
Explanation
Apache OpenNLP is vulnerable to XML External Entity (XXE) attack. The constructor in the ConstitParseSampleStream class, createDOM() function in the GeneratorFactory class, and the parse() function in the IrishSentenceBankDocument and LetsmtDocument classes allows unsafe external entities when processing XML data from models and dictionaries. A remote attacker can exploit this by submitting specially crafted XML, which can potentially lead to Denial of Service, Information Disclosure, or other attacks.
Advisory Deviation Notice 
The Sonatype security research team discovered that the vulnerability is present in version 1.5.2-incubating-rc1 until 1.8.2, not in all the versions from 1.5.0 till 1.8.2 as the advisory states.
Detection
The application is vulnerable by using this component.
Recommendation
We recommend upgrading to a version of this component that is not vulnerable to this specific issue.
Categories
Data
Root Cause
tika-bundle-1.13.jar <= opennlp-tools-1.5.3.jar <= ConstitParseSampleStream.class : [1.5.3-rc1, 1.7.1)
tika-bundle-1.13.jar <= opennlp-tools-1.5.3.jar <= GeneratorFactory.class : [1.5.3-rc1, 1.7.1)
Advisories
Project: http://opennlp.apache.org/news/cve-2017-12620.html
Close 
Apache OpenNLP	
Fixed version: Apache OpenNLP 1.8.2 or later

4	SONATYPE-2016-0398	Source Sonatype Data Research
Severity Sonatype CVSS 3.0: 7.5
Weakness Sonatype CWE: 22

Explanation
Plexus Utils is vulnerable to Directory Traversal. The extractFile() function in the Expand class allows directory traversal characters such as ../ via the entryName parameter. An attacker can exploit this vulnerability by sending a specially crafted request containing this sequence in the URL path, allowing the attacker to traverse beyond the allowed directory and retrieve the contents of arbitrary files from the server, leading to information disclosure.
Detection
The application is vulnerable by using this component.
Recommendation
We recommend upgrading to a version of this component that is not vulnerable to this specific issue.
Categories
Data
Root Cause
tika-app-1.13.jar <= Expand.class : ( , 3.0.24)
Advisories
Third Party: https://github.com/sonatype/plexus-utils/issues/20
Plexus Utils	
Fixed version: Most likely Plexus Utils 3.0.24 or later




Can we please have Apach Tika release an updated version that uses the fixed Third party components?

Thx & Regards.
--- Abhijit Rajwade
BMC Software
",Bug,Resolved,Fixed,Blocker,Security,,2017-11-10T15:54:36.907+0000,2017-12-05T14:25:54.860+0000,2017-12-05T14:25:47.694+0000,0,3,,3,0
TIKA-2434,False,True,True,"Language detection slow, cpu intensive, CLI interrupts work","Since version 1.16, when using tika -l FILE, it takes a lot longer than e.g. 1.15.

Also, when batch processing a bunch of files in the background, the Java runtime icon pops up when processing the next file, stealing the input focus from whatever other application I'm currently working on, thus constantly interrupting my work.

Also, the Java runtime uses from 100% to 400% CPU when executing Tika.",Bug,Open,,Major,,cli,2017-07-27T16:14:32.904+0000,2019-10-29T15:52:18.812+0000,,0,5,,13,0
TIKA-2402,True,False,False,Support all image formats in Object Recognition REST Parser,Currently object recognition REST parser only supports parsing jpeg image type. Objective of this task is to add all image format support to it by converting any image into jpeg format at the server's end.,Sub-task,Resolved,Fixed,Minor,memex,parser,2017-06-26T17:29:11.412+0000,2017-09-01T20:59:36.866+0000,2017-08-09T16:39:23.144+0000,0,4,TIKA-2398,14,0
TIKA-2400,True,True,False,Standardizing current Object Recognition REST parsers,"# This involves adding apiBaseUris and refactoring current Object Recognition REST parsers,
# Refactoring dockerfiles related to those parsers.
#  Moving the logic related to checking minimum confidence into servers",Sub-task,Resolved,Fixed,Minor,,parser,2017-06-20T16:25:15.053+0000,2017-11-22T06:57:53.726+0000,2017-11-21T17:06:52.292+0000,0,5,TIKA-2398,59,0
TIKA-2398,True,False,True,Unifying Object Recognition REST services,"h1. Background
Tika already has a [Object Recognition Parser|https://wiki.apache.org/tika/TikaAndVision], a [Video Labeling Parser|https://wiki.apache.org/tika/TikaAndVisionVideo] and an ongoing [PR|https://github.com/apache/tika/pull/180] for an Image Captioning Parser. All of these parsers are based on REST services, but currently there's no convenient way users can deploy all these REST services, There can be use cases such as user needs to use the Object Recognition Parser and the Image Captioning parser together. The entire implementation will be based on docker. Once implemented this, user will not have to build every single docker for object recognition, video labeling, image captioning etc. etc. User will only need to build the docker container which has this unified REST server and web gui. This docker container will build other docker containers for image captioning, object recognition etc. etc and host them as REST services whenever user needs them. For an example, if a user needs to use object recognition parser for the first time, he will have to only run this docker container(unified REST server with web gui), then user can activate object recognition service from the web gui. First time activating that service, it will automatically create the docker container for object recognition, then will make object recognition service available to the user.   

h1. Objectives 
# Automating the docker container building process for the user 
# Creating a convenient platform for the user where he can start/terminate REST services, see statistics of the model usage through a web gui   
# Making the current REST services more stable using a reverse proxy server

h1. Benefits
# Convenience
# Easy to implement a new parser with deep learning capabilities by finding an already trained NN model with any framework. i.e.framework doesn’t matter. We don't need to stick to Keras, Tensorflow or DL4J. If we can host the service as a web app. This platform can support it.  ",Improvement,Open,,Major,REST_API; deeplearning; gsoc2017; machine_learning,parser,2017-06-19T16:00:38.440+0000,2017-06-29T15:30:10.650+0000,,0,2,,1,0
TIKA-2369,True,False,False,Define a clean Recogniser interface: for objects from binary data; and for text classification,"As described in TIKA-2360 we should refactor the ObjectRecogniser interface. I propose creating:

1. TextRecogniser (per [~thammegowda] it takes INPUT:text input and OUTPUT:set of metadata key values)
2. ObjectRecogniser (also per Thamme ObjectRecogniser, VideoLabeller, OCR, Caption - INPUT:raw bytes and OUTPUT:set of metadata key values.)

We should of course rectify this with Tika-DL and how that folds in. ",Bug,Open,,Major,,,2017-05-18T02:05:48.305+0000,2021-08-17T13:29:50.247+0000,,0,2,,0,0
TIKA-2349,True,False,False,Try to match digests when finding equivalent embedded files in tika-eval Compare,"In tika-eval {{Compare}}, there's some code that tries to find equivalent embedded files.  The challenge is that embedded resource paths may contain different names in different versions of Tika, or they may be at different offsets within the {{List<Metadata>}}.  In the most recent regression run, we had several cases where the {{List<Metadata>}}s were the same size, but the attachments were ordered differently.

Instead of relying solely on position, let's try to match digest keys first, then back off to path names, and finally, back off equal locations in the list, if the lists have the same size.

More areas for improvement will exist for this bit of code...",Improvement,Resolved,Fixed,Trivial,,tika-eval,2017-05-01T16:12:46.643+0000,2021-04-12T13:01:47.899+0000,2017-05-01T16:21:13.200+0000,0,2,,3,0
TIKA-2322,True,False,True,Video labeling using existing ObjectRecognition,"Currently TIKA supports ObjectRecognition in Images. I am proposing to extend this to support videos. 

Idea is -
1. Extract frames from video and run IncV3 to get labels for these frames. 
2. We average confidence scores of same labels for each frame. 
3. Return results in sorted order of confidence score. 

I am writing code for different modes of frame extractions -
1. Extract center image.
2. Extract frames after every fixed interval.
3. Extract N frames equally divided across video.

We used this approach in [0]. Code in [1]

[0] https://github.com/USCDataScience/hadoop-pot
[1] https://github.com/USCDataScience/video-recognition",Improvement,Resolved,Fixed,Major,memex,parser,2017-04-11T16:50:52.824+0000,2017-05-03T14:51:41.914+0000,2017-05-02T13:52:24.351+0000,0,8,,133,0
TIKA-2263,True,False,True,"Sentiment Analysis - Standardize the interface and integrate OpenNLP, CoreNLP with pluggable models","h2. Background
[As per Wikipedia|https://en.wikipedia.org/wiki/Sentiment_analysis]: Sentiment analysis (also known as opinion mining) refers to the use of natural language processing, text analysis and computational linguistics to identify and extract subjective information in source materials. Sentiment analysis is widely applied to reviews and social media for a variety of applications, ranging from marketing to customer service.


h2. Goals
* Create an interface for SentimentAnalyser
* Create a parser for sentiment analysis with pluggable implementations of SentimentAnalyser and its model files
* Provide an implementation from Apache OpenNLP and its default models for english. Make this as default
** Converge the efforts of [~chrismattmann] and [~mensikova.anastasija@gmail.com] in [TIKA-2016| https://issues.apache.org/jira/browse/TIKA-2016]
* Provide an implementation from Stanford CoreNLP and make this as optional (due to its license incompatibility wit AL2.0). Make it attachable at runtime similar to already existing [CoreNLP Named Entity Recogniser|https://wiki.apache.org/tika/TikaAndNER#Using_Stanford_CoreNLP_NER].
** Leave room for plugging other/custom implementations at the runtime

h2. References
* https://issues.apache.org/jira/browse/TIKA-2016
* https://issues.apache.org/jira/browse/TIKA-1787
* http://irds.usc.edu/SentimentAnalysisParser/index.html
* http://nlp.stanford.edu/sentiment/



",Improvement,Open,,Major,NLP; classifier; integration; machine_learning,,2017-02-11T22:18:31.297+0000,2017-02-11T22:18:31.297+0000,,0,1,,0,0
TIKA-2222,True,False,False,Contributing a XFDL Parser,"I am considering contributing a XFDL parser but I first have a few questions. Feel free to close and let me know if this is not the proper channel for asking such questions.

XFDL files are XML-based forms that can be regular text or base64 encoded.  They contain form field labels, field values, formulas, screen coordinates, etc.   Not everything is relevant so the default XML parser will extract too much text.

My question is about what to store as metadata vs content.    

Some people may want to capture the form field values only while others may feel capturing the field labels are as important.  Because people may be interested in different things, I am thinking of storing each as separate metadata entries.  In doing so, it may make it so that no or very little ""content"" is extracted, which can also be a nuisance to some.    So... would it be acceptable to store specific values as both metadata entries (structured) and content (unstructured)?  That approach would be the most flexible for users, but is there a concern with having information stored in two locations?

As for the metadata entries themselves, I am thinking this XFDL XML representation...

{code:xml}
      <field sid=""FieldID"">
          …
         <value>This is a value.</value>
         <label>This is a label</label>
         …
      </field>
{code}

…could be metadata stored/flatten like this :

{code}
field.FieldID.value= This is a value.
field.FieldID.label= This is a label.
{code}

Any comments on this approach?",Improvement,Open,,Minor,,parser,2016-12-21T18:09:55.177+0000,2016-12-24T04:00:36.210+0000,,0,2,,1,0
TIKA-2075,True,False,False,Tika 2.0  - Expose Additional TikaService methods,"TikaService should also expose direct access to wrapped member variables such as ServiceLoader, Parser, and Detector.",Improvement,In Progress,,Major,,,2016-09-10T04:54:29.060+0000,2021-04-12T13:01:49.114+0000,,0,2,,2,0
TIKA-2021,False,True,False,Improving accuracy of Tesseract parser for Serial Number and Part Number (Numeric) Extraction,"Tesseract OCR parser works well with images containing English text. However, there is possibility of improvement in case of alphanumeric and numeric content which require training Tesseract with the relevant cases in order to better extract content from images. Such a customization can be helpful in extraction of serial numbers from images of counterfeit electronics and other applications focussing on atypical textual content.",Improvement,Resolved,Fixed,Major,memex,ocr; parser,2016-06-24T21:07:25.193+0000,2016-07-08T22:48:30.789+0000,2016-07-07T06:39:47.756+0000,0,5,,7,0
TIKA-2016,True,False,True,A parser that combines Apache OpenNLP and Apache Tika and provides facilities for automatically deriving sentiment from text.,A new project that implements a parser that uses Apache OpenNLP and Apache Tika to perform Sentiment Analysis.,New Feature,Resolved,Fixed,Major,analysis; gsoc2016; memex; parser; sentiment,parser,2016-06-23T19:12:05.552+0000,2017-05-21T15:40:45.186+0000,2017-05-21T15:40:36.639+0000,0,5,,22,0
TIKA-1993,True,False,True,Image Recognition with Tika ,"Create ""ImageRecognitionParser"" which can have pluggable implementation for core recognition logic.

As the name suggests, this parser should detect objects in the images, and support many implementations + models (similar to what NamedEntityParser did for text).

Supply a default implementation based on Tensorflow with the current state-of-the-art model \[1\].

Links:
\[1\] https://www.tensorflow.org/versions/r0.8/tutorials/image_recognition/index.html#usage-with-python-api




",New Feature,Resolved,Fixed,Major,,parser,2016-06-02T01:33:38.822+0000,2021-03-30T20:26:18.977+0000,2016-08-14T18:48:53.268+0000,0,7,,13,0
TIKA-1978,False,True,True,"Invocation of java.net.URL.equals(Object), which blocks to do domain name resolution, in org.apache.tika.parser.geo.topic.GeoParser.initialize(URL)","Performance - The equals and hashCode methods of URL are blocking
The equals and hashCode method of URL perform domain name resolution, this can result in a big performance hit. See http://michaelscharf.blogspot.com/2006/11/javaneturlequals-and-hashcode-make.html for more information. Consider using java.net.URI instead. 
",Bug,Resolved,Fixed,Critical,,parser,2016-05-19T22:52:10.904+0000,2021-04-12T13:02:09.804+0000,2016-05-25T15:46:52.401+0000,0,4,,12,0
TIKA-1954,True,False,False,Build simple stacktrace search interface,We often have users submitting stacktraces but unable to share the triggering documents.  Let's offer a simple search interface to search the stacktraces we have in our corpus so that we can help users (and us) find documents that trigger their stacktraces.,Sub-task,Open,,Minor,,cli; general; server,2016-04-16T01:11:51.251+0000,2016-04-16T01:14:16.996+0000,,0,1,TIKA-1302,1,0
TIKA-1913,True,False,True,Integrate MIT Information Extraction(MITIE) into Tika to perform Named Entity Recognition,"Hello folks, 

MIT Information Extraction provides support for free state-of-the-art information extraction that includes named entity recognition and binary relation detection.

They contain pre trained models and functions to train new models.
I propose that we can use their precompiled jar or maven central project and supply it at runtime to enable MITIE Named Entity Recognition in Tika.

",New Feature,Resolved,Fixed,Major,features; memex,parser,2016-03-30T21:17:19.358+0000,2016-04-23T18:54:57.693+0000,2016-04-23T18:46:51.634+0000,0,2,,2,0
TIKA-1909,True,False,False,Tika 2.0 - Allow Proxy Parser and Detectors to accept Classloaders,Proxy Parsers and Detectors will need to be loaded from specific classloaders in OSGi and multi-classloader environments.  Ensure that classloaders can be passed easily to Proxies.,Improvement,Resolved,Fixed,Major,,,2016-03-26T04:10:02.792+0000,2021-04-12T13:00:05.203+0000,2016-03-26T04:20:32.555+0000,0,2,,2,0
TIKA-1903,False,True,False,Allow for more flexibility in handling embedded metadata objects (e.g. XMP),"On TIKA-1607, we veered a bit from allowing flexible metadata structures to how to handle embedded metadata documents, such as XMP.  Let's use this issue to discuss and design.",Improvement,Open,,Major,,,2016-03-15T19:33:58.252+0000,2016-09-26T18:54:06.400+0000,,0,2,,2,0
TIKA-1814,True,False,False,Add a standalone XMPScannerParser,"Several parsers make use of XMP data and normalize it via dc or other standards into our metadata object.  We're currently either relying on dependencies to make sense of multiple XMP packets within a file (PDFBox for PDFParser) or we're just grabbing the first (TiffParser via JempboxExtractor and XMPPacketScanner) or...which other parsers are processing XMP?

It might be useful to extract all XMPPackets from a file and store those raw bytes as Base64 encoded Strings in the Metadata object.  Advanced users could then have access to the raw XMP streams.

For Tika 1.x, unless users configured it, nothing would call it.  For Tika 2.x, once we get the combo configurable parsers set up, a user could configure a combo/additive parser, e.g., a PDFParser that is a combination of our current PDFParser and then this new XMPScannerParser.",Improvement,Open,,Minor,,,2015-12-16T19:13:14.229+0000,2015-12-16T19:13:14.229+0000,,0,1,,0,0
TIKA-1797,True,False,False,Pick best location by analysing context in GeoTopic parser ,"lucene-geo-gazetteer is enhanced to return multiple results for a string. 

GeoTopic parser should start using new fields country code and admin codes to determine best possible locations within context of a document.

Proposal:
1. Get top 3 results for each location string
2. Group all locations on country code, admin code1, admin code2
3. Give priority to most occuring country, admin code1, admin code 2

",Sub-task,Open,,Major,,parser,2015-11-17T21:41:08.646+0000,2015-11-25T23:11:18.814+0000,,0,1,TIKA-1802,0,0
TIKA-1744,True,False,True,Use java.nio.file.Path in TikaInputStream,"This will provide support for the new api for users who need it, and provide better information in I/O operations, e.g. detailed exception if file cannot be read.

- used Path and methods in java.nio.file.Files internally 
- add getPath() method as the counterpart to getFile()
- modified test to use 
",Sub-task,Resolved,Fixed,Minor,java7,core,2015-09-22T22:13:09.986+0000,2015-10-01T14:48:37.991+0000,2015-09-30T15:29:26.603+0000,0,3,TIKA-1726,7,2
TIKA-1734,True,False,False,Use java.nio.file.Path in TemporaryResources,"This will provide support for the new api for uses who need it, and provide better information in I/O operations, e.g. detailed exception if temporary file deletion fails.

- used Path and methods in java.nio.file.Files internally 
- add setTemporaryFileDirectory(Path) method
- add createTempFile() method (mimicking Files.createTempFile)
- add unit test for proper deletion of temp files",Sub-task,Resolved,Fixed,Minor,java7,core,2015-09-16T09:06:08.681+0000,2015-09-24T18:39:49.816+0000,2015-09-22T13:32:38.114+0000,0,4,TIKA-1726,4,1
TIKA-1722,False,True,False,Tika methods that accept a File needlessly convert it to a URL,"The following methods:
- Tika.detect(File)
- Tika.parse(File)
- Tika.parseToString(File)

Convert the given File to a URL and use the corresponding overloaded method that accepts a URL.
This seems like a shortcut, but essentially does the following:
# Converts the file to a URI
# Converts the URI to a URL
# Calls TikaInputStream.get(URL, Metadata), which then performs the following special handling:
# Checks if the protocol is ""file""
# Tries to convert the URL (back) to a URI
# Creates a File around the URI
# Checks if file.isFile() 
# Calls TikaInputStream.get(File, Metadata)

The special handling in TikaInputStream.get(URL/URI) is a good optimization for in-the-wild file resources, but for internal uses it can be skipped - making Tika call TikaInputStream.get(File, Metadata) directly.",Improvement,Resolved,Fixed,Minor,,core,2015-08-27T00:16:46.639+0000,2015-08-27T09:52:07.316+0000,2015-08-27T09:25:07.728+0000,0,3,,2,1
